Toplevel-Operations;Subresource-Operations;Sum-Toplevel-Operations;Sum-Subresource-Operations;Sum-All-Operations;Current-OAS-File
9;0;5313;2185;7498;1790_teameap-Viptela_by_Orange-1.0.2-swagger.json
18;31;5331;2216;7547;1793_teconcept-swagger-io_link_master-0.0.1-oas3-swagger.json
5;0;5336;2216;7552;1797_telkomdev-lalas-ChatAja-Core-1.0.0-swagger.json
4;1;5340;2217;7557;1798_telless-temp-1.0.0-swagger.json
3;0;5343;2217;7560;1807_test8374-testAPI001-0.0.1-swagger.json
82;0;5425;2217;7642;1822_The-Villa-Play_Server-1.0-oas3-swagger.json
23;44;5448;2261;7709;1837_TIS-CCA-cca-core_data_service_api-1.210.3-oas3-swagger.json
8;1;5456;2262;7718;1845_tomsluyts-Persoon-1.0.0-swagger.json
9;0;5465;2262;7727;1847_Toporov_Vladislav-transfer-1.0.0-swagger.json
6;0;5471;2262;7733;1848_toures_balon-Usuario-Servicio-1.0.0-swagger.json
5;0;5476;2262;7738;1849_Tournamazing-tournament-service-v1-oas3-swagger.json
4;0;5480;2262;7742;1864_tsdv-Ehpd-1.0.0-swagger.json
8;2;5488;2264;7752;1866_tsfreitas-arauto-ws-1.0.0-swagger.json
10;0;5498;2264;7762;1877_Ulakapp.com-b-2_b_public-1.0-swagger.json
2;0;5500;2264;7764;1898_vaporting-passive-dns-1.0-swagger.json
4;0;5504;2264;7768;1908_vidacare-vidacare.ticket-1.1.0-oas3-swagger.json
17;4;5521;2268;7789;1911_Videonetics2020-MerafaceService-1.0.0.0-swagger.json
4;0;5525;2268;7793;1925_VPL-Solutions-LLC-catalog-1.0.0-swagger.json
4;0;5529;2268;7797;1927_vs-simonchristian-haw_vs_tavern-1.0.0-swagger.json
4;0;5533;2268;7801;1940_Weavr-Webhook-2.9.4-swagger.json
17;1;5550;2269;7819;1949_WeProov8-WeProovApi-1.0.0-oas3-swagger.json
3;1;5553;2270;7823;1951_wesinc.api-fileupload-2.0-swagger.json
3;4;5556;2274;7830;1955_whisperwind-COG-1.0.0-swagger.json
15;0;5571;2274;7845;1961_williamchand-bca_young_hackr-1.0.0-swagger.json
10;0;5581;2274;7855;1967_WKozman-TestBook-1.1.1-swagger.json
8;0;5589;2274;7863;1970_Wodomon-Teletype-1.1.0-swagger.json
31;5;5620;2279;7899;1971_Woleet-WoleetIDServerAPI-1.2.3-swagger.json
7;0;5627;2279;7906;1974_WorkshopTech-PharmaStock-1.0.0-swagger.json
6;0;5633;2279;7912;1985_XNAT-Metrics-1.0.0-swagger.json
24;0;5657;2279;7936;2004_youbim-llc-youbim-1.0.0-swagger.json
2;2;5659;2281;7940;2008_yujinlim-myatm-1.0.0-swagger.json
9;1;5668;2282;7950;2020_zCode-Solutions-meetMyTypes-mobile-api-doc-1.0.2-swagger.json
1;0;5669;2282;7951;2032_Zipari-Core-Services-CareFirstMemberPoliciesList-100.0.2-swagger.json
1;0;5670;2282;7952;2036_Zipari-Core-Services-DocumentsList-10.3.1-swagger.json
15;29;5685;2311;7996;2037_Zipari-Core-Services-EDE_api-1.0.1-swagger.json
1;0;5686;2311;7997;2039_Zipari-Core-Services-GroupsList-10.0.4-swagger.json
1;0;5687;2311;7998;2040_Zipari-Core-Services-IDCardsList-10.2.1-swagger.json
1;0;5688;2311;7999;2042_Zipari-Core-Services-MemberPoliciesList-10.1.4-swagger.json
1;0;5689;2311;8000;2043_Zipari-Core-Services-MembersList-10.2.1-swagger.json
1;0;5690;2311;8001;2049_Zipari-Core-Services-MessageThreadsList-10.5.1-swagger.json
1;0;5691;2311;8002;2054_Zipari-Core-Services-PlansList-10.5.2-swagger.json
1;0;5692;2311;8003;2057_Zipari-Core-Services-PoliciesList-10.1.10-swagger.json
1;0;5693;2311;8004;2060_Zipari-Core-Services-ProvidersList-10.0.7-swagger.json
1;0;5694;2311;8005;2062_Zipari-Core-Services-TransactionsList-10.1.1-swagger.json
20;11;5714;2322;8036;2066_Zipari-Core-Services-zipari_provider_portal_v_3_0_1_payer_api_specification-3.0.3-swagger.json
1;0;5715;2322;8037;2068_ZIPARI19-policy_api-1.0.0-swagger.json
