Toplevel-Operations;Subresource-Operations;Sum-Toplevel-Operations;Sum-Subresource-Operations;Sum-All-Operations;Current-OAS-File
5;3;5829;2818;8647;1547_Restrain-Status-3.0.0-beta3-swagger.json
11;0;5840;2818;8658;1548_retailsolution-GeneralAPI-1.0.0-swagger.json
8;1;5848;2819;8667;1549_retailsolution-InternalPayment-1.0-swagger.json
32;4;5880;2823;8703;1550_retor7-citizen-app_api_docs-2.0.0-swagger.json
28;14;5908;2837;8745;1551_RFG-UserManagement-1.0.0-swagger.json
20;3;5928;2840;8768;1564_robertvanmolken-SpendiesAPI-1.0-swagger.json
6;0;5934;2840;8774;1565_robsel1186-Habit-Tracker-1.0.0-oas3-swagger.json
7;0;5941;2840;8781;1570_romulo94-vuttr-1.0.0-swagger.json
6;0;5947;2840;8787;1573_rontero-skso-1.0.0-oas3-swagger.json
153;0;6100;2840;8940;1578_ross-zebra-ross_sim_api-1.13.647.0-swagger.json
12;0;6112;2840;8952;1585_rtgholdings-RTGHoldingsOpenCRMAPI-1.0-swagger.json
14;0;6126;2840;8966;1586_rtgholdings-RTGHoldingsOpenCRMAPISandbox-1.0-swagger.json
20;38;6146;2878;9024;1614_sample-api-mock-common-1.0.0-swagger.json
59;11;6205;2889;9094;1618_Sandbox78-digital-office-0.5-swagger.json
24;29;6229;2918;9147;1624_sasidaren-payment-processing_ap_is_include_send_receive_details_reclaims_and_remitance_informations-3.5.0-swagger.json
16;4;6245;2922;9167;1631_scd.sulga-hrmny-1.0.1-swagger.json
49;4;6294;2926;9220;1638_sehatin.com-sehatin-v1-0.0.1-swagger.json
6;0;6300;2926;9226;1650_senta-Senta-1.4-swagger.json
42;4;6342;2930;9272;1653_sentifi-api-docs-sentifi-intelligence_markets_api-1.0.0-swagger.json
23;0;6365;2930;9295;1654_sep3-project-SEP3-tier2-1.0.0-oas3-swagger.json
27;5;6392;2935;9327;1655_septianw-ahsan-0.1.0-swagger.json
4;1;6396;2936;9332;1669_shjulberg-music-api-0.3.3-swagger.json
42;19;6438;2955;9393;1673_Shoprunback-SRB-APP-1.1.0.0-swagger.json
3;0;6441;2955;9396;1688_sindhu-gangadharan-product-1.0.0-swagger.json
15;0;6456;2955;9411;1700_Smartinfo-Sweden-AB-SmartinfoSystemsAPI-2.5.0-oas3-swagger.json
5;3;6461;2958;9419;1703_smoya_samba-mvr-api-0.0.3-swagger.json
1;0;6462;2958;9420;1705_SOITEC-AWS_SES-1.0.0-oas3-swagger.json
9;0;6471;2958;9429;1722_SportsBiz-CognitoAdapter-1.0.0-swagger.json
9;0;6480;2958;9438;1724_sportshi-team-service-1.0.0-swagger.json
22;0;6502;2958;9460;1727_Srijan-Tech-la-mer_lmx_cms_rest_api-1.0-swagger.json
14;14;6516;2972;9488;1732_Staant95-Smartshop-1.0.0-swagger.json
24;6;6540;2978;9518;1738_StepAhead-StepsCRM-0.0.8-swagger.json
3;1;6543;2979;9522;1750_Subway-FreshAPI-Order-1.0.0-swagger.json
55;12;6598;2991;9589;1752_supla-supla-cloud-api-2.3.0-swagger.json
3;10;6601;3001;9602;1768_szse-dev-finbus_mbam_monitoring_indicator-0.0.1-swagger.json
9;6;6610;3007;9617;1776_talentclue-talent-clue_api-1.1.4-swagger.json
7;0;6617;3007;9624;1777_taltech-lang-lab-SpeakerID-1.0.0-swagger.json
50;0;6667;3007;9674;1789_team777-1551-1.0.0-oas3-swagger.json
9;0;6676;3007;9683;1790_teameap-Viptela_by_Orange-1.0.2-swagger.json
18;31;6694;3038;9732;1793_teconcept-swagger-io_link_master-0.0.1-oas3-swagger.json
5;0;6699;3038;9737;1797_telkomdev-lalas-ChatAja-Core-1.0.0-swagger.json
4;1;6703;3039;9742;1798_telless-temp-1.0.0-swagger.json
3;0;6706;3039;9745;1807_test8374-testAPI001-0.0.1-swagger.json
82;0;6788;3039;9827;1822_The-Villa-Play_Server-1.0-oas3-swagger.json
16;0;6804;3039;9843;1823_theatrixx-mediaplayer-device-1.0.0-oas3-swagger.json
23;44;6827;3083;9910;1837_TIS-CCA-cca-core_data_service_api-1.210.3-oas3-swagger.json
8;1;6835;3084;9919;1845_tomsluyts-Persoon-1.0.0-swagger.json
9;0;6844;3084;9928;1847_Toporov_Vladislav-transfer-1.0.0-swagger.json
6;0;6850;3084;9934;1848_toures_balon-Usuario-Servicio-1.0.0-swagger.json
5;0;6855;3084;9939;1849_Tournamazing-tournament-service-v1-oas3-swagger.json
4;0;6859;3084;9943;1864_tsdv-Ehpd-1.0.0-swagger.json
8;2;6867;3086;9953;1866_tsfreitas-arauto-ws-1.0.0-swagger.json
10;0;6877;3086;9963;1877_Ulakapp.com-b-2_b_public-1.0-swagger.json
2;0;6879;3086;9965;1898_vaporting-passive-dns-1.0-swagger.json
4;0;6883;3086;9969;1908_vidacare-vidacare.ticket-1.1.0-oas3-swagger.json
17;4;6900;3090;9990;1911_Videonetics2020-MerafaceService-1.0.0.0-swagger.json
4;0;6904;3090;9994;1925_VPL-Solutions-LLC-catalog-1.0.0-swagger.json
4;0;6908;3090;9998;1927_vs-simonchristian-haw_vs_tavern-1.0.0-swagger.json
4;0;6912;3090;10002;1940_Weavr-Webhook-2.9.4-swagger.json
17;1;6929;3091;10020;1949_WeProov8-WeProovApi-1.0.0-oas3-swagger.json
3;1;6932;3092;10024;1951_wesinc.api-fileupload-2.0-swagger.json
3;4;6935;3096;10031;1955_whisperwind-COG-1.0.0-swagger.json
15;0;6950;3096;10046;1961_williamchand-bca_young_hackr-1.0.0-swagger.json
10;0;6960;3096;10056;1967_WKozman-TestBook-1.1.1-swagger.json
12;0;6972;3096;10068;1968_WM-Reply-kms-reports_api_bat_test-1.0.3-swagger.json
8;0;6980;3096;10076;1970_Wodomon-Teletype-1.1.0-swagger.json
31;5;7011;3101;10112;1971_Woleet-WoleetIDServerAPI-1.2.3-swagger.json
12;4;7023;3105;10128;1973_Woody-Technologies-PublicAPI-1.0.1-swagger.json
7;0;7030;3105;10135;1974_WorkshopTech-PharmaStock-1.0.0-swagger.json
